peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
67.75,1.63,M,20,0,27,3,10,4,0,N,1,2,0
85.34,1.67,V,50,0,0,3,2,0,0,N,1,2,2
84.83,1.69,M,39,0,9,0,0,6,0,N,2,3,4
98.86,1.84,V,42,0,0,0,0,0,0,N,1,2,1
50.2,1.67,M,20,90,17,2,0,4,0,N,1,1,2
66.07,1.55,M,62,0,4,0,18,13,0,N,1,1,0
53.87,1.73,M,21,140,2,0,12,4,0,N,0,1,0
53.25,1.72,V,23,70,0,1,6,8,0,N,3,3,3
54.5,1.74,V,54,40,0,2,0,8,0,N,3,2,2
97.63,1.81,V,40,0,5,3,0,0,0,N,2,2,1
78.93,1.67,M,40,0,10,0,3,0,0,N,2,4,4
50.2,1.67,V,62,70,7,3,8,7,0,N,1,2,1
47.24,1.62,M,40,100,8,0,0,0,0,N,0,0,0
82.7,1.68,V,36,0,0,0,7,6,0,N,2,3,3
68.16,1.52,M,29,0,0,2,2,3,0,N,1,2,2
88.11,1.79,V,80,0,14,0,12,5,1,N,2,4,4
51.91,1.64,M,49,20,14,4,4,12,0,N,0,0,1
52.63,1.71,V,38,120,7,1,0,0,0,N,0,1,1
90.34,1.75,V,59,0,0,1,11,0,0,N,1,4,2
82.27,1.67,M,57,0,20,4,19,8,0,N,3,4,4
92.19,1.7,M,54,0,0,4,1,2,0,N,2,2,2
78.32,1.7,M,18,0,0,0,0,4,0,N,1,2,2
86.85,1.71,V,58,0,0,6,0,8,0,N,2,4,4
96.12,1.79,M,51,0,0,1,4,5,0,N,2,4,4
81.57,1.66,M,61,0,3,1,28,22,0,N,1,3,4
53.25,1.72,M,18,80,0,3,0,0,3,N,2,4,4
47.24,1.62,M,45,90,0,2,1,0,1,N,1,3,3
58.97,1.81,V,30,60,0,3,0,0,0,N,2,2,3
85.97,1.69,V,34,0,0,1,2,0,0,N,1,2,1
73.98,1.7,V,64,20,3,0,17,11,0,N,1,0,1
74.18,1.67,M,29,10,2,3,4,0,0,N,2,4,3
79.54,1.71,M,29,0,8,0,3,2,5,N,1,3,4
72.47,1.66,M,43,0,11,4,0,0,0,N,2,2,2
83.11,1.67,M,63,0,0,4,5,5,2,N,1,2,1
85.09,1.71,M,45,0,0,4,1,0,0,N,2,3,2
96.16,1.75,V,54,0,0,0,14,3,0,N,2,4,2
68.88,1.65,M,26,30,0,2,8,0,0,N,2,2,1
52.63,1.71,M,29,60,20,2,14,0,0,N,0,0,0
91.28,1.73,V,52,0,0,1,13,3,0,N,1,4,3
52.02,1.7,M,29,210,1,3,10,6,4,N,1,2,2
47.24,1.62,M,37,50,0,0,17,10,0,N,2,4,3
98.81,1.76,V,50,0,0,5,11,0,3,S,0,0,1
95.1,1.76,V,21,0,0,1,16,10,0,N,0,2,2
54.5,1.74,V,19,90,2,0,7,12,3,N,1,3,3
